V1	V2.x	V3	V4	V5	grp	DUP	len
NC_021684.1	Gnomon	non_coding	0	5164	1	NO	5164
NC_021684.1	Gnomon	exon	5165	5202	2	NO	37
NC_021684.1	Gnomon	intron	5203	6035	3	NO	832
NC_021684.1	Gnomon	exon	6036	6184	4	NO	148
NC_021684.1	Gnomon	intron	6185	7733	5	NO	1548
NC_021684.1	Gnomon	exon	7734	7809	6	NO	75
NC_021684.1	Gnomon	intron	7810	10634	7	NO	2824
NC_021684.1	Gnomon	exon	10635	10760	8	NO	125
NC_021684.1	Gnomon	intron	10761	12072	9	NO	1311
NC_021684.1	Gnomon	exon	12073	12104	10	NO	31
NC_021684.1	Gnomon	intron	12105	12841	11	NO	736
NC_021684.1	Gnomon	exon	12842	12951	12	NO	109
NC_021684.1	Gnomon	intron	12952	16017	13	NO	3065
NC_021684.1	Gnomon	exon	16018	16072	14	NO	54
NC_021684.1	Gnomon	intron	16073	18908	15	NO	2835
NC_021684.1	Gnomon	exon	18909	18981	16	NO	72
NC_021684.1	Gnomon	intron	18982	19086	17	NO	104
NC_021684.1	Gnomon	exon	19087	19231	18	NO	144
NC_021684.1	Gnomon	intron	19232	20598	19	NO	1366
NC_021684.1	Gnomon	exon	20599	20675	20	NO	76
NC_021696.1	Gnomon	non_coding	20676	25062	NA	NA	4386
NC_021684.1	Gnomon	exon	25063	25292	22	NO	229
NC_021684.1	Gnomon	intron	25293	25608	23	NO	315
NC_021684.1	Gnomon	exon	25609	25866	24	NO	257
NC_021684.1	Gnomon	intron	25867	26023	25	NO	156
NC_021684.1	Gnomon	exon	26024	26593	26	NO	569
NC_021684.1	Gnomon	intron	26594	26750	27	NO	156
NC_021684.1	Gnomon	exon	26751	27032	28	NO	281
NC_021684.1	Gnomon	intron	27033	27121	29	NO	88
NC_021684.1	Gnomon	exon	27122	27406	30	NO	284
NC_021684.1	Gnomon	intron	27407	27511	31	NO	104
NC_021684.1	Gnomon	exon	27512	27608	32	NO	96
NC_021684.1	Gnomon	intron	27609	27769	33	NO	160
NC_021684.1	Gnomon	exon	27770	28310	34	NO	540
NC_021696.1	Gnomon	non_coding	28311	31914	NA	NA	3603
NC_021684.1	Gnomon	exon	31915	32107	36	NO	192
NC_021684.1	Gnomon	intron	32108	33303	37	NO	1195
NC_021684.1	Gnomon	exon	33304	33564	38	NO	260
NC_021684.1	Gnomon	intron	33565	34096	39	NO	531
NC_021684.1	Gnomon	exon	34097	34224	40	NO	127
NC_021684.1	Gnomon	intron	34225	34470	41	NO	245
NC_021684.1	Gnomon	exon	34471	34755	42	NO	284
NC_021684.1	Gnomon	intron	34756	34876	43	NO	120
NC_021684.1	Gnomon	exon	34877	34973	44	NO	96
NC_021684.1	Gnomon	intron	34974	35107	45	NO	133
NC_021684.1	Gnomon	exon	35108	35183	46	NO	75
NC_021684.1	Gnomon	intron	35184	35191	47	NO	7
NC_021684.1	Gnomon	exon	35192	35348	48	NO	156
NC_021684.1	Gnomon	intron	35349	35437	49	NO	88
NC_021684.1	Gnomon	exon	35438	35722	50	NO	284
NC_021684.1	Gnomon	intron	35723	35843	51	NO	120
NC_021684.1	Gnomon	exon	35844	35940	52	NO	96
NC_021684.1	Gnomon	intron	35941	36074	53	NO	133
NC_021684.1	Gnomon	exon	36075	36397	54	NO	322
NC_021696.1	Gnomon	non_coding	36398	44728	NA	NA	8330
NC_021684.1	Gnomon	exon	44729	45160	56	NO	431
NC_021684.1	Gnomon	intron	45161	76961	57	NO	31800
NC_021684.1	Gnomon	exon	76962	77174	58	NO	212
NC_021684.1	Gnomon	intron	77175	80033	59	NO	2858
NC_021684.1	Gnomon	exon	80034	80186	60	NO	152
NC_021684.1	Gnomon	intron	80187	83146	61	NO	2959
NC_021684.1	Gnomon	exon	83147	83599	62	NO	452
NC_021684.1	Gnomon	intron	83600	84543	63	NO	943
NC_021684.1	Gnomon	exon	84544	85563	64	NO	1019
NC_021684.1	Gnomon	intron	85564	86623	65	NO	1059
NC_021684.1	Gnomon	exon	86624	86775	66	NO	151
NC_021684.1	Gnomon	intron	86776	93757	67	NO	6981
NC_021684.1	Gnomon	exon	93758	93968	68	NO	210
NC_021684.1	Gnomon	intron	93969	97141	69	NO	3172
NC_021684.1	Gnomon	exon	97142	98718	70	NO	1576
NC_021696.1	Gnomon	non_coding	98719	108930	NA	NA	10211
NC_021684.1	Gnomon	exon	108931	109258	72	NO	327
NC_021684.1	Gnomon	intron	109259	133411	73	NO	24152
NC_021684.1	Gnomon	exon	133412	133483	74	NO	71
NC_021684.1	Gnomon	intron	133484	143539	75	NO	10055
NC_021684.1	Gnomon	exon	143540	143559	76	NO	19
NC_021684.1	Gnomon	intron	143560	144084	77	NO	524
NC_021684.1	Gnomon	exon	144085	144159	78	NO	74
NC_021684.1	Gnomon	intron	144160	146880	79	NO	2720
NC_021684.1	Gnomon	exon	146881	147051	80	NO	170
NC_021684.1	Gnomon	intron	147052	151435	81	NO	4383
NC_021684.1	Gnomon	exon	151436	151604	82	NO	168
NC_021684.1	Gnomon	intron	151605	152874	83	NO	1269
NC_021684.1	Gnomon	exon	152875	153472	84	NO	597
NC_021684.1	Gnomon	intron	153473	159382	85	NO	5909
NC_021684.1	Gnomon	exon	159383	159472	86	NO	89
NC_021684.1	Gnomon	intron	159473	160672	87	NO	1199
NC_021684.1	Gnomon	exon	160673	160809	88	NO	136
NC_021684.1	Gnomon	intron	160810	162127	89	NO	1317
NC_021684.1	Gnomon	exon	162128	162284	90	NO	156
NC_021684.1	Gnomon	intron	162285	166313	91	NO	4028
NC_021684.1	Gnomon	exon	166314	166452	92	NO	138
NC_021684.1	Gnomon	intron	166453	167243	93	NO	790
NC_021684.1	Gnomon	exon	167244	167302	94	NO	58
NC_021684.1	Gnomon	intron	167303	168873	95	NO	1570
NC_021684.1	Gnomon	exon	168874	169020	96	NO	146
NC_021684.1	Gnomon	intron	169021	169691	97	NO	670
NC_021684.1	Gnomon	exon	169692	169784	98	NO	92
NC_021684.1	Gnomon	intron	169785	171661	99	NO	1876
NC_021684.1	Gnomon	exon	171662	171741	100	NO	79
NC_021684.1	Gnomon	intron	171742	172142	101	NO	400
NC_021684.1	Gnomon	exon	172143	172173	102	NO	30
NC_021684.1	Gnomon	intron	172174	172644	103	NO	470
NC_021684.1	Gnomon	exon	172645	172746	104	NO	101
NC_021684.1	Gnomon	intron	172747	176906	105	NO	4159
NC_021684.1	Gnomon	exon	176907	176969	106	NO	62
NC_021684.1	Gnomon	intron	176970	179782	107	NO	2812
NC_021684.1	Gnomon	exon	179783	179905	108	NO	122
NC_021684.1	Gnomon	intron	179906	182279	109	NO	2373
NC_021684.1	Gnomon	exon	182280	182432	110	NO	152
NC_021684.1	Gnomon	intron	182433	184053	111	NO	1620
NC_021684.1	Gnomon	exon	184054	184194	112	NO	140
NC_021684.1	Gnomon	intron	184195	188768	113	NO	4573
NC_021684.1	Gnomon	exon	188769	188861	114	NO	92
NC_021684.1	Gnomon	intron	188862	193442	115	NO	4580
NC_021684.1	Gnomon	exon	193443	193523	116	NO	80
NC_021696.1	Gnomon	non_coding	193524	196696	NA	NA	3172
NC_021684.1	Gnomon	exon	196697	198014	118	NO	1317
NC_021684.1	Gnomon	intron	198015	198492	119	NO	477
NC_021684.1	Gnomon	exon	198493	198930	120	NO	437
NC_021684.1	Gnomon	intron	198931	199595	121	NO	664
